"state","year","s.prof","math4","math8","read4","flunch","puptch"
"Alabama",1990,60.5,NA,252.863662719727,NA,0.417175829410553,18.1262016296387
"Alabama",1991,60.5,NA,NA,NA,0.414604723453522,19.9031047821045
"Alabama",1992,60.5,208.327880859375,252.187515258789,207.358489990234,0.410801470279694,17.836067199707
"Alabama",1993,60.5,NA,NA,NA,0.401753336191177,17.4360485076904
"Alabama",1994,60.5,NA,NA,207.963516235352,0.396673381328583,17.0752735137939
"Alabama",1995,60.5,NA,NA,NA,0.391848534345627,17.212287902832
"Alabama",1996,60.5,211.64697265625,256.594848632812,NA,0.383227318525314,16.9363765716553
"Alabama",1997,60.5,NA,NA,NA,0.379606693983078,16.6077938079834
"Alabama",1998,60.5,NA,NA,211.337524414062,0.376807749271393,16.2988014221191
"Alabama",1999,60.5,NA,NA,NA,0.36919704079628,15.6592559814453
"Alabama",2000,60.5,217.223220825195,263.617401123047,NA,0.366210728883743,15.2338762283325
"Alabama",2001,60.5,NA,NA,NA,0.373141884803772,15.3544425964355
"Alabama",2002,60.5,NA,NA,206.880035400391,0.397764474153519,15.7569732666016
"Alabama",2003,60.5,223.344650268555,261.939025878906,207.083847045898,0.411007553339005,15.6927938461304
"Alabama",2004,60.5,NA,NA,NA,0.423087447881699,12.5920438766479
"Alabama",2005,60.5,225.071243286133,262.211090087891,207.752029418945,0.433322370052338,14.1516456604004
"Alabama",2006,60.5,NA,NA,NA,0.430334031581879,12.8427896499634
"Alabama",2007,60.5,228.52001953125,266.000122070312,216.388946533203,0.424992471933365,13.2474431991577
"Alabama",2008,60.5,NA,NA,NA,0.440520167350769,12.0934753417969
"Alabama",2009,60.5,227.962646484375,268.524108886719,216,0.446358859539032,11.5352449417114
"Alabama",2010,60.5,NA,NA,NA,0.452197551727295,10.977014541626
"Alabama",2011,60.5,231,269,220,0.458036243915558,10.4187841415405
"Alaska",1990,69.5,NA,NA,NA,0.142368227243423,16.8330249786377
"Alaska",1991,69.5,NA,NA,NA,0.153182968497276,16.9751110076904
"Alaska",1992,69.5,NA,NA,NA,0.160026967525482,16.6732234954834
"Alaska",1993,69.5,NA,NA,NA,0.154114320874214,16.8205165863037
"Alaska",1994,69.5,NA,NA,NA,0.149275898933411,17.509801864624
"Alaska",1995,69.5,NA,NA,NA,0.185585990548134,17.6345596313477
"Alaska",1996,69.5,223.833450317383,277.64306640625,NA,0.193405315279961,17.2947559356689
"Alaska",1997,69.5,NA,NA,NA,0.20225678384304,17.5140190124512
"Alaska",1998,69.5,NA,NA,NA,0.244597837328911,17.3276062011719
"Alaska",1999,69.5,NA,NA,NA,0.217922061681747,16.6756591796875
"Alaska",2000,69.5,NA,NA,NA,0.230282470583916,17.1460838317871
"Alaska",2001,69.5,NA,NA,NA,0.242921337485313,16.9233493804932
"Alaska",2002,69.5,NA,NA,NA,0.164490386843681,16.7403430938721
"Alaska",2003,69.5,232.991653442383,279.025054931641,211.547149658203,0.191762670874596,16.629207611084
"Alaska",2004,69.5,NA,NA,NA,0.20058536529541,17.1533050537109
"Alaska",2005,69.5,235.510711669922,278.958709716797,211.061325073242,0.207904040813446,17.1441459655762
"Alaska",2006,69.5,NA,NA,NA,0.246931463479996,16.8463096618652
"Alaska",2007,69.5,237.273895263672,282.557159423828,214.476959228516,0.267374515533447,16.7794513702393
"Alaska",2008,69.5,NA,NA,NA,0.281899303197861,16.9658966064453
"Alaska",2009,69.5,237.212280273438,283.047668457031,211,0.30153489112854,16.9898300170898
"Alaska",2010,69.5,NA,NA,NA,0.321170479059219,17.0137634277344
"Alaska",2011,69.5,236,283,208,0.340806096792221,17.0376987457275
"Arizona",1990,46.25,NA,259.590057373047,NA,-0.793965518474579,18.9087886810303
"Arizona",1991,46.25,NA,NA,NA,-0.669921338558197,19.3971252441406
"Arizona",1992,46.25,215.253936767578,265.366271972656,209.402069091797,-0.570606410503387,19.3354530334473
"Arizona",1993,46.25,NA,NA,NA,-0.476783603429794,18.6682834625244
"Arizona",1994,46.25,NA,NA,206.21272277832,-0.376809448003769,18.9222793579102
"Arizona",1995,46.25,NA,NA,NA,-0.289595127105713,19.3387184143066
"Arizona",1996,46.25,217.575942993164,267.874847412109,NA,-0.214883670210838,19.5587768554688
"Arizona",1997,46.25,NA,NA,NA,-0.132631838321686,19.7243404388428
"Arizona",1998,46.25,NA,NA,206.434860229492,-0.0641579180955887,19.7941360473633
"Arizona",1999,46.25,NA,NA,NA,0.00181831151712686,20.0288543701172
"Arizona",2000,46.25,218.867614746094,268.576080322266,NA,0.0648789927363396,19.4252262115479
"Arizona",2001,46.25,NA,NA,NA,0.124292239546776,19.7510242462158
"Arizona",2002,46.25,NA,NA,205.347274780273,0.176608681678772,20.0408554077148
"Arizona",2003,46.25,228.911392211914,271.177337646484,208.872802734375,0.0897931754589081,19.9094505310059
"Arizona",2004,46.25,NA,NA,NA,0.372815847396851,21.3035545349121
"Arizona",2005,46.25,229.800674438477,274.305084228516,207.142730712891,0.398563981056213,21.3200778961182
"Arizona",2006,46.25,NA,NA,NA,0.368888050317764,21.3028259277344
"Arizona",2007,46.25,231.936935424805,275.548431396484,209.520629882812,0.319099366664886,20.2390880584717
"Arizona",2008,46.25,NA,NA,NA,0.445176810026169,21.2047557830811
"Arizona",2009,46.25,229.991104125977,277.332275390625,210,0.49019068479538,21.3529796600342
"Arizona",2010,46.25,NA,NA,NA,0.535204589366913,21.5012035369873
"Arizona",2011,46.25,235,279,212,0.580218493938446,21.6494255065918
"Arkansas",1990,46.25,NA,256.213989257812,NA,0.313684016466141,17.0005855560303
"Arkansas",1991,46.25,NA,NA,NA,0.312895655632019,16.790563583374
"Arkansas",1992,46.25,210.206024169922,256.312103271484,210.899765014648,0.334494829177856,17.0067100524902
"Arkansas",1993,46.25,NA,NA,NA,0.33475050330162,16.9692897796631
"Arkansas",1994,46.25,NA,NA,208.634460449219,0.348352700471878,17.0781497955322
"Arkansas",1995,46.25,NA,NA,NA,0.350333482027054,17.0950298309326
"Arkansas",1996,46.25,215.846435546875,261.652740478516,NA,0.354814141988754,17.1370182037354
"Arkansas",1997,46.25,NA,NA,NA,0.365628868341446,17.1413745880127
"Arkansas",1998,46.25,NA,NA,208.741775512695,0.37547892332077,16.9506149291992
"Arkansas",1999,46.25,NA,NA,NA,0.374646216630936,16.1791572570801
"Arkansas",2000,46.25,216.17561340332,257.415466308594,NA,0.374324321746826,14.3815441131592
"Arkansas",2001,46.25,NA,NA,NA,0.374178528785706,14.0845460891724
"Arkansas",2002,46.25,NA,NA,212.881790161133,0.389724433422089,13.5979022979736
"Arkansas",2003,46.25,229.006591796875,265.771575927734,213.615310668945,0.395891219377518,14.8692712783813
"Arkansas",2004,46.25,NA,NA,NA,0.412410378456116,14.7209157943726
"Arkansas",2005,46.25,235.545471191406,271.636352539062,217.071533203125,0.433037161827087,14.8272714614868
"Arkansas",2006,46.25,NA,NA,NA,0.440087229013443,14.3711853027344
"Arkansas",2007,46.25,237.670684814453,273.899871826172,217.027816772461,0.491019278764725,13.5771608352661
"Arkansas",2008,46.25,NA,NA,NA,0.492997199296951,14.1781234741211
"Arkansas",2009,46.25,237.540588378906,275.99951171875,216,0.511845469474792,14.1355056762695
"Arkansas",2010,46.25,NA,NA,NA,0.530693709850311,14.0928888320923
"Arkansas",2011,46.25,238,279,217,0.54954195022583,14.0502710342407
"California",1990,36.25,NA,256.324829101562,NA,0.437747627496719,22.4366226196289
"California",1991,36.25,NA,NA,NA,0.430238395929337,22.7892990112305
"California",1992,36.25,208.398956298828,260.892242431641,202.247528076172,0.380670607089996,22.7997550964355
"California",1993,36.25,NA,NA,NA,0.399924725294113,24.0423679351807
"California",1994,36.25,NA,NA,196.764419555664,0.425469815731049,24.0195827484131
"California",1995,36.25,NA,NA,NA,0.438140153884888,24.0315132141113
"California",1996,36.25,209.129089355469,262.772491455078,NA,0.455875515937805,23.9828033447266
"California",1997,36.25,NA,NA,NA,0.460554838180542,22.852840423584
"California",1998,36.25,NA,NA,202.4248046875,0.464193731546402,21.6131496429443
"California",1999,36.25,NA,NA,NA,0.394016116857529,21.030424118042
"California",2000,36.25,212.694137573242,259.786956787109,NA,0.391717940568924,21.0086879730225
"California",2001,36.25,NA,NA,NA,0.379923403263092,20.6053066253662
"California",2002,36.25,NA,NA,205.916580200195,0.382673323154449,20.5380153656006
"California",2003,36.25,227.454986572266,267.049499511719,205.632431030273,0.383907914161682,20.6446075439453
"California",2004,36.25,NA,NA,NA,0.388781696557999,21.0766849517822
"California",2005,36.25,230.366958618164,268.558135986328,206.512023925781,0.390627145767212,21.0529727935791
"California",2006,36.25,NA,NA,NA,0.385432511568069,20.8174133300781
"California",2007,36.25,230.034088134766,270.381774902344,208.522186279297,0.393097132444382,20.8616485595703
"California",2008,36.25,NA,NA,NA,0.393273770809174,21.043176651001
"California",2009,36.25,231.674926757812,270.448577880859,210,0.394946306943893,21.1035461425781
"California",2010,36.25,NA,NA,NA,0.396618813276291,21.1639137268066
"California",2011,36.25,234,273,211,0.398291349411011,21.2242813110352
"Colorado",1990,83,NA,267.366302490234,NA,0.181668758392334,17.6114101409912
"Colorado",1991,83,NA,NA,NA,0.182326063513756,17.7544059753418
"Colorado",1992,83,221.023422241211,272.3984375,216.525360107422,0.185621306300163,17.9201030731201
"Colorado",1993,83,NA,NA,NA,0.201297670602798,18.331937789917
"Colorado",1994,83,NA,NA,213.480895996094,0.21069909632206,18.5693244934082
"Colorado",1995,83,NA,NA,NA,0.221297979354858,18.3561935424805
"Colorado",1996,83,225.805862426758,275.608215332031,NA,0.216851368546486,18.5452404022217
"Colorado",1997,83,NA,NA,NA,0.217755749821663,18.5020599365234
"Colorado",1998,83,NA,NA,220.241012573242,0.218581512570381,18.1598052978516
"Colorado",1999,83,NA,NA,NA,0.208587750792503,17.7292442321777
"Colorado",2000,83,NA,NA,NA,0.206886231899261,17.3675308227539
"Colorado",2001,83,NA,NA,NA,0.19936840236187,17.2571754455566
"Colorado",2002,83,NA,NA,NA,0.205214619636536,16.7974510192871
"Colorado",2003,83,235.193115234375,283.399871826172,223.660980224609,0.21933414041996,16.5604724884033
"Colorado",2004,83,NA,NA,NA,0.238454103469849,16.8736190795898
"Colorado",2005,83,239.215881347656,280.824005126953,223.656127929688,0.2526815533638,16.9595031738281
"Colorado",2006,83,NA,NA,NA,0.269404977560043,17.0115394592285
"Colorado",2007,83,240.20588684082,286.192749023438,223.732650756836,0.273698836565018,16.903881072998
"Colorado",2008,83,NA,NA,NA,0.293817490339279,17.0482006072998
"Colorado",2009,83,243.132446289062,287.372894287109,226,0.308299213647842,17.1045227050781
"Colorado",2010,83,NA,NA,NA,0.322780966758728,17.1608428955078
"Colorado",2011,83,244,292,223,0.337262719869614,17.2171649932861
"Connecticut",1990,76.25,NA,269.866424560547,NA,0.12514029443264,13.3329477310181
"Connecticut",1991,76.25,NA,NA,NA,0.136332526803017,13.4863586425781
"Connecticut",1992,76.25,226.798477172852,273.739349365234,221.612640380859,0.153886288404465,13.9909257888794
"Connecticut",1993,76.25,NA,NA,NA,0.0173314549028873,14.2858476638794
"Connecticut",1994,76.25,NA,NA,222.417602539062,0.231641069054604,14.3746166229248
"Connecticut",1995,76.25,NA,NA,NA,0.234071388840675,14.3511152267456
"Connecticut",1996,76.25,232.026580810547,279.591247558594,NA,0.233979165554047,14.3591623306274
"Connecticut",1997,76.25,NA,NA,NA,0.196276426315308,14.4217395782471
"Connecticut",1998,76.25,NA,NA,230.004516601562,0.194097504019737,14.211163520813
"Connecticut",1999,76.25,NA,NA,NA,0.199699655175209,14.0487461090088
"Connecticut",2000,76.25,233.768218994141,280.78515625,NA,0.182468011975288,13.88210105896
"Connecticut",2001,76.25,NA,NA,NA,0.223996967077255,13.6969833374023
"Connecticut",2002,76.25,NA,NA,229.381149291992,0.166380822658539,13.6506357192993
"Connecticut",2003,76.25,240.615234375,283.729797363281,228.340621948242,0.177613884210587,13.4769954681396
"Connecticut",2004,76.25,NA,NA,NA,0.186438739299774,13.622917175293
"Connecticut",2005,76.25,242.120727539062,281.068939208984,225.753021240234,0.19740903377533,14.8781175613403
"Connecticut",2006,76.25,NA,NA,NA,0.209284618496895,14.489857673645
"Connecticut",2007,76.25,242.755645751953,282.472778320312,227.203643798828,0.220344290137291,14.7027997970581
"Connecticut",2008,76.25,NA,NA,NA,0.230491876602173,15.0923480987549
"Connecticut",2009,76.25,244.717742919922,288.608520507812,229,0.241229012608528,15.3653364181519
"Connecticut",2010,76.25,NA,NA,NA,0.251966148614883,15.6383256912231
"Connecticut",2011,76.25,242,287,227,0.2627032995224,15.9113140106201
"Delaware",1990,67.5,NA,260.696868896484,NA,0.185986831784248,16.3503837585449
"Delaware",1991,67.5,NA,NA,NA,0.196231111884117,16.7183361053467
"Delaware",1992,67.5,217.899978637695,262.868591308594,212.923446655273,0.215018197894096,16.7671871185303
"Delaware",1993,67.5,NA,NA,NA,0.251636773347855,16.6860198974609
"Delaware",1994,67.5,NA,NA,206.389053344727,0.270846158266068,16.5434169769287
"Delaware",1995,67.5,NA,NA,NA,0.288925498723984,16.6479110717773
"Delaware",1996,67.5,215.025100708008,266.733673095703,NA,0.288481563329697,16.7818355560303
"Delaware",1997,67.5,NA,NA,NA,0.295199424028397,16.6439323425293
"Delaware",1998,67.5,NA,NA,207.040985107422,0.301232576370239,16.3445262908936
"Delaware",1999,67.5,NA,NA,NA,0.276544660329819,16.0110263824463
"Delaware",2000,67.5,NA,NA,NA,0.268052756786346,15.4189672470093
"Delaware",2001,67.5,NA,NA,NA,0.264440685510635,15.3535947799683
"Delaware",2002,67.5,NA,NA,224.303558349609,0.280624777078629,15.2635059356689
"Delaware",2003,67.5,235.859420776367,277.158355712891,223.928817749023,0.288468480110168,15.1132764816284
"Delaware",2004,67.5,NA,NA,NA,0.27733963727951,15.1849269866943
"Delaware",2005,67.5,239.716918945312,280.953552246094,225.838455200195,0.29501810669899,15.1592416763306
"Delaware",2006,67.5,NA,NA,NA,0.306705147027969,15.1209049224854
"Delaware",2007,67.5,241.794891357422,282.992095947266,225.070541381836,0.308235317468643,15.2095050811768
"Delaware",2008,67.5,NA,NA,NA,0.313776016235352,15.1479463577271
"Delaware",2009,67.5,239.490570068359,283.829467773438,226,0.319788634777069,15.1401519775391
"Delaware",2010,67.5,NA,NA,NA,0.325801223516464,15.1323575973511
"Delaware",2011,67.5,240,283,225,0.331813842058182,15.1245632171631
